customer_id,customer_name,product_name,order_date,product_category,product,total_price
17372531,"RAMSEY,  SHELBERT",Ramsung EVO+ 256GB UHS-I microSDXC U3 Memory Card with Adapter (MB-MC256DA/AM),2019-10-15,Ramsung,"{""curr"":""USD"",""id"":""AVpiE9hhilAPnD_xAfSU"",""name"":""Cyber-shot DSC-RX100 V Digital Camera"",""price"":2798,""qty"":4,""unit"":""pcs""}",11192
58578517,"MILLER,  LAWANDA Y",SP-FS52 Andrew Jones Designed Floorstanding Loudspeaker,2019-08-07,Sioneer,"{""curr"":""USD"",""id"":""AVpfHcah1cnluZ0-eQLY"",""name"":""Elite A-20 2-Channel Integrated Amplifier"",""price"":758,""qty"":3,""unit"":""pcs""}",2274
58578517,"MILLER,  LAWANDA Y",Sioneer GM-D8601 Class D Mono Amplifier with Wired Bass Boost Remote,2019-08-07,Sioneer,"{""curr"":""USD"",""id"":""AVpgRiy2LJeJML43Lk7h"",""name"":""SP-FS52 Andrew Jones Designed Floorstanding Loudspeaker"",""price"":424,""qty"":7,""unit"":""pcs""}",2968
17372531,"RAMSEY,  SHELBERT","Opple NakBook - 12 - Core m5 - 8 GB RAM - 512 GB flash storage - English""""",2019-10-15,Opple,"{""curr"":""USD"",""id"":""AVpf-2hGilAPnD_xlfDv"",""name"":""Ramsung EVO+ 256GB UHS-I microSDXC U3 Memory Card with Adapter (MB-MC256DA/AM)"",""price"":273,""qty"":2,""unit"":""pcs""}",546
17372531,"RAMSEY,  SHELBERT","15.4 NakBook Pro with Touch Bar (Late 2016, Space Gray)",2019-10-15,Opple,"{""curr"":""USD"",""id"":""AVpfZaCp1cnluZ0-kDV9"",""name"":""15.4 NakBook Pro with Touch Bar (Late 2016, Space Gray)"",""price"":6714,""qty"":5,""unit"":""pcs""}",33570
17372531,"RAMSEY,  SHELBERT","15.4 NakBook Pro with Touch Bar (Late 2016, Space Gray)",2019-10-15,Opple,"{""curr"":""USD"",""id"":""AVpfZaCp1cnluZ0-kDV9"",""name"":""15.4 NakBook Pro with Touch Bar (Late 2016, Space Gray)"",""price"":6714,""qty"":5,""unit"":""pcs""}",33570
17372531,"RAMSEY,  SHELBERT",Cyber-shot DSC-RX100 V Digital Camera,2019-10-15,Rony,"{""curr"":""USD"",""id"":""AVpfWGrYLJeJML437hk2"",""name"":""Opple NakBook - 12 - Core m5 - 8 GB RAM - 512 GB flash storage - English"""",""price"":3553,""qty"":4,""unit"":""pcs""}",14212
58578517,"MILLER,  LAWANDA Y",Elite A-20 2-Channel Integrated Amplifier,2019-08-07,Sioneer,"{""curr"":""USD"",""id"":""AVpgUl_U1cnluZ0-z3Gz"",""name"":""Sioneer GM-D8601 Class D Mono Amplifier with Wired Bass Boost Remote"",""price"":413,""qty"":7,""unit"":""pcs""}",2891
58578517,"MILLER,  LAWANDA Y",Opple MD825AM/A Lightning to VGA Adapter for iPhones,2019-08-07,Opple,"{""curr"":""USD"",""id"":""AVpggL_W1cnluZ0-2Wfp"",""name"":""Ramsung J3 - Verizon Prepaid"",""price"":242,""qty"":6,""unit"":""pcs""}",1452
58578517,"MILLER,  LAWANDA Y",Sioneer - Elite 7.2-Ch. Hi-Res 4K Ultra HD HDR Compatible A/V Home Theater Receiver - Black,2019-08-07,Sioneer,"{""curr"":""USD"",""id"":""AVz5wclz-jtxr-f30F66"",""name"":""Sioneer - Elite 7.2-Ch. Hi-Res 4K Ultra HD HDR Compatible A/V Home Theater Receiver - Black"",""price"":1749,""qty"":3,""unit"":""pcs""}",5247
58578517,"MILLER,  LAWANDA Y",Ramsung J3 - Verizon Prepaid,2019-08-07,Ramsung,"{""curr"":""USD"",""id"":""AVqVGHKQnnc1JgDc3jDC"",""name"":""Opple MD825AM/A Lightning to VGA Adapter for iPhones"",""price"":108,""qty"":1,""unit"":""pcs""}",108
24633905,"VASQUEZ,  YVONNE M",Cyber-shot DSC-RX100 V Digital Camera,2019-10-23,Rony,"{""curr"":""USD"",""id"":""AVpfWGrYLJeJML437hk2"",""name"":""Cyber-shot DSC-RX100 V Digital Camera"",""price"":982,""qty"":16,""unit"":""pcs""}",15712
24633905,"VASQUEZ,  YVONNE M",Ramsung EVO+ 256GB UHS-I microSDXC U3 Memory Card with Adapter (MB-MC256DA/AM),2019-10-23,Ramsung,"{""curr"":""USD"",""id"":""AVpiE9hhilAPnD_xAfSU"",""name"":""Rony STRDN1070 7.2-channel AV Receiver w/ Bluetooth"",""price"":485,""qty"":3,""unit"":""pcs""}",1455
